id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
693854,b'Wishing On A Star',0.36, ,14,0.42,1.2,5.05,72,352,"Jan 8, 2022",69,https://www.discogs.com/release/693854
57799,"b'Wishing On A Star (""Dancin"" Danny D Remix)'",0.88, ,31,0.5,2.4,10.5,69,249,"Jan 15, 2022",70,https://www.discogs.com/release/57799
8723030,b'Hi Fi Ep     ',4.9, ,53,2.99,6.0,14.03,340,328,"Nov 14, 2021",24,https://www.discogs.com/release/8723030
934945,b'High (The Llorca Remixes)',1.0, ,26,1.2,1.82,3.0,45,164,"Dec 20, 2021",25,https://www.discogs.com/release/934945
157425,b'Can You Feel It',1.17, ,16,1.0,1.53,7.0,45,100,"Nov 20, 2021",31,https://www.discogs.com/release/157425
1414390,b'The Won / Bump Da Gunz',0.88, ,12,0.76,2.25,6.14,13,167,"Oct 13, 2020",50,https://www.discogs.com/release/1414390
1189784,b'Find A Way',1.2, ,5,1.5,2.6,7.95,39,55,"Feb 18, 2021",11,https://www.discogs.com/release/1189784
431502,"b""You Can't Hide""",1.8, ,3,1.5,2.0,2.95,31,19,"Apr 30, 2021",7,https://www.discogs.com/release/431502
410546,b'Massive Motion',1.99, ,92,4.38,9.0,20.0,117,417,"Sep 22, 2021",8,https://www.discogs.com/release/410546
12695555,b'MISTRZ SZTUKI',0.0, ,8,0.0,0.0,0.0,2,53,0,0,https://www.discogs.com/release/12695555
6424917,b'Alive 2007',63.37, ,734,21.87,100.0,300.01,3082,6951,"Jan 11, 2022",19,https://www.discogs.com/release/6424917
2703551,b'Gimme The Light',3.9, ,5,1.15,2.89,4.9,29,58,"Nov 14, 2021",10,https://www.discogs.com/release/2703551
56729,b'Bodyswerve',2.39, ,48,0.6,2.19,6.01,81,332,"Nov 9, 2021",20,https://www.discogs.com/release/56729
59690,b'Automan 2',6.0, ,83,3.59,9.61,18.0,413,594,"Jan 7, 2022",15,https://www.discogs.com/release/59690
399056,b'Sister Sister',0.6, ,7,1.5,2.17,7.0,38,85,"Mar 18, 2021",20,https://www.discogs.com/release/399056
217280,b'Cocomotion',2.63, ,52,0.53,3.94,14.0,299,350,"Jan 2, 2022",17,https://www.discogs.com/release/217280
676,b'A Little Love',1.99, ,36,0.93,3.7,6.0,134,203,"Jul 30, 2021",37,https://www.discogs.com/release/676
349771,b'Beats Breaks & Scratches Volume 5',0.66, ,13,1.0,3.75,7.0,76,135,"Sep 5, 2021",14,https://www.discogs.com/release/349771
135009,b'Rich In Paradise',1.23, ,72,1.2,2.99,6.08,240,536,"Nov 29, 2021",93,https://www.discogs.com/release/135009
12953039,b'Overpowered',29.5, ,177,17.0,30.9,36.87,528,1689,"Jan 9, 2022",45,https://www.discogs.com/release/12953039
8696215,b'1999',19.0, ,89,19.58,25.52,35.0,322,822,"Jan 6, 2022",29,https://www.discogs.com/release/8696215
45080,b'Got Myself Together',0.88, ,103,0.88,4.34,5.94,180,666,"Jan 13, 2022",89,https://www.discogs.com/release/45080
154649,b'Big Bellied Psycho',3.56, ,20,2.75,5.2,10.0,123,123,"Jan 4, 2022",14,https://www.discogs.com/release/154649
2261399,b'Witness (1 Hope)',8.77, ,59,4.37,12.0,20.0,423,563,"Dec 20, 2021",1,https://www.discogs.com/release/2261399
7724343,b'Jungle Revolution In Dub',29.2, ,39,15.34,19.95,35.0,305,563,"Oct 31, 2021",2,https://www.discogs.com/release/7724343
167732,b'Botchit Breaks 2',24.02, ,27,3.6,20.0,54.04,232,177,"Dec 29, 2021",5,https://www.discogs.com/release/167732
492466,b'You Know All About Drags E.P.',0.99, ,84,0.99,2.93,5.0,69,600,"Jan 14, 2022",54,https://www.discogs.com/release/492466
1355425,b'Skyhook / The Scraper',6.53, ,38,2.4,6.0,10.8,88,174,"Sep 16, 2021",8,https://www.discogs.com/release/1355425
133153,b'Getcha Some More',1.0, ,11,0.9,1.32,3.35,18,53,"Sep 25, 2019",3,https://www.discogs.com/release/133153
31756,b'Made On Earth',2.49, ,39,2.49,6.0,22.7,76,272,"Dec 28, 2021",25,https://www.discogs.com/release/31756
174527,b'Feel It',0.89, ,24,1.19,2.4,6.34,50,88,"Sep 1, 2021",23,https://www.discogs.com/release/174527
94030,"b""Keep Rockin' Don't Stop No Disco""",3.0, ,25,0.6,2.39,7.2,43,101,"Dec 5, 2021",5,https://www.discogs.com/release/94030
9438479,b'Protection',19.22, ,723,17.52,21.45,29.41,1066,8348,"Jan 13, 2022",133,https://www.discogs.com/release/9438479
413087,"b""Jus' Gettin' It EP""",0.6, ,32,0.69,2.36,3.63,42,270,"May 23, 2021",46,https://www.discogs.com/release/413087
17358,b'A Kitten',2.63, ,83,2.19,6.34,12.01,320,494,"Nov 22, 2021",23,https://www.discogs.com/release/17358
80911,b'Dooms Night (Revisited)',1.2, ,73,1.74,4.39,10.67,136,643,"Nov 28, 2021",39,https://www.discogs.com/release/80911
